dataset,instance,bks,optimal
Prodhon,20-5-1,54793,1
Prodhon,20-5-1b,39104,1
Prodhon,20-5-2,48908,1
Prodhon,20-5-2b,37542,1
Prodhon,50-5-1,90111,0
Prodhon,50-5-1b,63242,0
Prodhon,50-5-2,88298,0
Prodhon,50-5-2b,67340,0
Prodhon,50-5-2bis,84055,0
Prodhon,50-5-2bbis,51822,1
Prodhon,50-5-3,86203,0
Prodhon,50-5-3b,61830,0
Prodhon,100-5-1,275993,0
Prodhon,100-5-1b,214392,0
Prodhon,100-5-2,194598,0
Prodhon,100-5-2b,157173,0
Prodhon,100-5-3,200246,0
Prodhon,100-5-3b,152586,0
Prodhon,100-10-1,290429,0
Prodhon,100-10-1b,234641,0
Prodhon,100-10-2,244265,0
Prodhon,100-10-2b,203988,0
Prodhon,100-10-3,253344,0
Prodhon,100-10-3b,204597,0
Prodhon,200-10-1,479425,0
Prodhon,200-10-1b,378773,0
Prodhon,200-10-2,450468,0
Prodhon,200-10-2b,374435,0
Prodhon,200-10-3,472898,0
Prodhon,200-10-3b,364178,0
Tuzun,111112,1468.4,0
Tuzun,111122,1449.2,0
Tuzun,111212,1396.46,0
Tuzun,111222,1432.29,0
Tuzun,112112,1167.53,0
Tuzun,112122,1102.7,0
Tuzun,112212,793.97,0
Tuzun,112222,728.3,0
Tuzun,113112,1238.49,0
Tuzun,113122,1246.34,0
Tuzun,113212,902.38,0
Tuzun,113222,1021.31,0
Tuzun,131112,1866.75,0
Tuzun,131122,1841.86,0
Tuzun,131212,1981.37,0
Tuzun,131222,1809.25,0
Tuzun,132112,1448.27,0
Tuzun,132122,1444.25,0
Tuzun,132212,1206.73,0
Tuzun,132222,931.94,0
Tuzun,133112,1699.92,0
Tuzun,133122,1401.82,0
Tuzun,133212,1199.51,0
Tuzun,133222,1152.86,0
Tuzun,121112,2281.78,0
Tuzun,121122,2185.55,0
Tuzun,121212,2234.78,0
Tuzun,121222,2259.52,0
Tuzun,122112,2101.9,0
Tuzun,122122,1709.56,0
Tuzun,122212,1467.54,0
Tuzun,122222,1084.78,0
Tuzun,123112,1973.28,0
Tuzun,123122,1957.23,0
Tuzun,123212,1771.06,0
Tuzun,123222,1393.62,0
Barreto,Christofides69-50x5,565.6,1
Barreto,Christofides69-75x10,861.6,0
Barreto,Christofides69-100x10,842.9,0
Barreto,Daskin95-88x8,355.8,0
Barreto,Daskin95-150x10,44011.7,0
Barreto,Gaskell67-21x5,424.9,1
Barreto,Gaskell67-22x5,585.1,1
Barreto,Gaskell67-29x5,512.1,1
Barreto,Gaskell67-32x5-1,571.7,0
Barreto,Gaskell67-32x5-2,504.3,1
Barreto,Gaskell67-36x5,460.4,1
Barreto,Min92-27x5,3062,1
Barreto,Min92-134x8,5809,0
